name,info
oogl,面向对象图形库
opo,OPL输出可执行文件
p65,PageMaker 6.5文件
pab,Microsoft个人地址簿
part,Go!Zilla部分下载文件
pas,Pascal源代码
py,Python源代码
pyc,Python字节码文件
pyw,Python图形窗口文件
pbd,"PowerBuilder动态库,作为本地DLL的一个替代物"
pbl,用于在PowerBuilder开发环境中的PowerBuilder动态库
pbm,可导出位图
pbr,PowerBuilder资源
pcd,"Kodak Photo-CD映像；P-Code编译器测试脚本,由Microsoft测试与Microsoft Visual测试"
pcl,Hewlett-Packard 打印机控制语言文件（打印机备用位图）
pcm,声音文件格式；OKI MSM6376 合成芯片 PCM格式
pdd,可以用Paint Shop Pro或其他图像处理软件打开的图形图像
pdf,Adobe Acrobat 可导出文档格式文件（可用Web浏览器显示）；Microsoft系统管理服务器包定义文件；NetWare打印机定义文件
pfm,打印机字体尺度
pgl,HP绘图仪绘图文件
pgm,可输出灰度图（位图）
ph,由Microsoft帮助文件编译器产生的临时文件
"php,php3",包含有PHP脚本的HTML网页
phtml,包含有PHP脚本的HTML网页；由Perl分析解释的HTML
pic,PC画图位图；Lotus图片；Macintosh PICT绘图
"pjx,pjt",Microsoft Visual FoxPro工程文件
pkg,Microsoft Developer Studio应用程序扩展（与DLL文件类似）
png,可移植的网络图形位图；Paint Shop Pro浏览器目录
pot,Microsoft Powerpoint模块
ppa,Microsoft Powerpoint内插器
ppf,Turtle Beach的Pinnacle程序文件
ppm,可移植的象素映射位图
pps,Microsoft Powerpoint幻灯片放映
ppt,Microsoft Powerpoint 97-2003 幻灯片演示文稿
pptx,Microsoft Powerpoint2007 幻灯片演示文稿
prf,"Windows系统文件,Macromedia导演设置文件"
prg,dBASE Clipper和FoxPro程序源文件；WAVmaker程序
prj,3D Studio（DOS）工程文件
prn,打印表格（用空格分隔的文本）；DataCAD Windows打印机文件
prproj,Adobe Premiere Pro 项目文件
prt,"打印格式化文件；Pro,ENGINEER元件文件"
psd,Adobe photoshop位图文件
psp,Paint Shop Pro图像文件
pst,Microsoft Outlook个人文件夹文件
pwz,Microsoft Powerpoint向导
qic,Microsoft备份文件
qif,QuickTime相关图像（MIME）；Quicken导入文件
qlb,Quick库
qry,Microsoft查询文件
qtp,QuickTime优先文件
qtx,QuickTime相关图像
qw,Symantec Q&A Write程序文件
ra,RealAudio声音文件
ram,RealAudio元文件
rar,WINRAR压缩档案（Eugene Roshall格式）
rdf,资源描述框架文件（涉及XML和元数据）
reg,注册表文件
rep,Visual dBASE报表文件
res,Microsoft Visual C++资源文件
resmoncfg,资源监视器配置
rft,可修订的表单文本（IBM的DCA一部分或文档内容框架结构一部分）
"rgb,sgi",Silicon图形RGB文件
rm,RealAudio视频文件
rmd,Microsoft RegMaid文档
rpt,Microsoft Visual Basic Crystal报表文件
rtf,Rich Text格式文档
rul,InstallShield使用的扩展名
rvp,Microsoft Scan配置文件（MIME）
sav,游戏保存文件
sb2,scratch2.0文件
sb3,scratch3.0文件
sprite2,scratch2.0角色文件
sprite3,scratch3.0角色文件
sbl,Shockwave Flash对象文件
scc,Microsoft Source Safe文件
scf,Windows Explorer命令文件
scp,拨号网络脚本文件
scr,Windows屏幕保护；传真图像；脚本文件
sct,SAS目录（DOS）；Scitex CT位图；Microsoft FoxPro表单
scx,Microsoft FoxPro表单文件
sdt,SmartDraw模板
sdv,分号分隔的值文件
sdx,由SDX压缩的MIDI抽样转储标准文件
search-ms,已保存的搜索
searchconnector-ms,搜索连接器
sep,标签图像文件格式（TIFF）位图
settingcontent-ms,设置内容
sfd,SoundStage声音文件数据
sfi,Sound Stage声音文件信息
sfr,Sonic Foundry Sample资源
sfx,RAR自解压文件
sgml,标准通用标签语言
shg,热点位图
shtml,含有服务器端包括（SSI）的HTML文件
shw,Corel Show演示文稿
sig,符号文件
ska,PGP秘钥
skl,Macromedia导演者资源文件
sl,PACT的保存布局扩展名
so,Linux的共享库
spl,Shockwave Flash对象；DigiTrakker抽样
sqc,结构化查询语言（SQR）普通代码文件
sqr,结构化查询语言（SQR）程序文件
str,屏幕保护文件
swa,在Macromedia导演文件（MP3文件）中的Shockwave声音文件
swf,Shockwave Flash对象
sys,系统文件
syw,Yamaha SY系列波形文件
taz,"UNIX gzip,tape档案"
tga,Targa位图
theme,Windows桌面主题文件
thn,Graphics WorkShop for Windows速写
"tif,tiff",标签图像文件格式（TIFF）位图
tig,"虎形文件,美国政府用于分发地图"
tlb,OLE类型库
tmp,Windows临时文件
tol,Kodak照片增强器
tpl,CakeWalk声音模板文件；DataCAD模板文件
trm,终端文件
trn,MKS源完整性工程用法日志文件
ttf,TrueType字体文件
txt,文本文档；ASCⅡ文本格式的声音数据
txw,Yamaha TX16W波形文件
udf,"Windows NT,2000唯一性数据库文件"
ult,Ultra Tracker音乐模块（MOD）文件
url,Internet快捷方式文件
use,MKS源完整性文件
uwf,Ultra racker波形文件
vbp,Microsoft Visual Basic工程文件
vbs,Microsoft Visual Basic脚本语言
vbw,Microsoft Visual Basic工作区文件
vbx,Microsoft Visual Basic用户定制控件
"vct,vcx",Microsoft FoxPro类库
vda,Targa位图
vir,Norton Anti-Virus或其他杀毒产品用于标识被病毒感染的文件
viv,VivoActive Player流视频文件
vsd,Visio绘画文件（流程图或图解）
vsl,下载列表文件（GetRight）
vss,Visio模板文件
vst,Targa位图
vsw,Visio工作区文件
vxd,Microsoft Windows虚拟设备驱动程序
vba,Visual Basic的一种宏语言
vqf,Yamaha Sound-VQ文件（可能出现标准）
w3l,W3Launch文件
wab,Microsoft Outlook文件
wad,包含有视频、玩家水平和其他信息的DOOM游戏的大文件
wav,Windows波形声形
wbk,Microsoft Word备份文件
wcm,WordPerfect宏
wdb,Microsoft Works数据库
wfm,Visual dBASE Windows表单
wfn,在CorelDRAW中使用的符号
wil,WinImage文件
wiz,Microsoft Word向导
wll,Microsoft Word内插器
wma,Windows 音频格式
wmf,Windows元文件
wmv,Windows 媒体视频格式
wow,Grave Composer音乐模块（MOD）文件
wp,WordPerfect文档
wpd,WordPerfect文档或演示
wpf,可字处理文档
wpg,WordPerfect图形
wps,Microsoft Works文档
wpt,WordPerfect模板
wr1,书写器文档
wrk,Cakewalk音乐声音工程文件
wrl,虚拟现实模型
wrz,VRML文件对象
x,AVS图像格式
xar,CorelXARA绘画
xbm,MIME“xbitmap”图像
xi,Scream Tracker设备抽样文件
xla,Microsoft Excel内插器
xlb,Microsoft Excel工具条
xlc,Microsoft Excel图表
xld,Microsoft Excel对话框
xlk,Microsoft Excel备份
xll,Microsoft Excel内插器文件
xlm,Microsoft Excel宏
xls,Microsoft Office Excel 97-2003 工作表
xlsx,Microsoft Office Excel 2007 工作表
xlt,Microsoft Excel模板
xlv,Microsoft Excel VBA模块
xlw,"Microsoft Excel工作簿,工作区"
xnk,Microsoft Exchange快捷方式文件
xpm,X位图格式
xwd,X Windows转储格式
xwf,Yamaha XG Works文件（MIDI序列）
x16,"宏媒体扩展（程序扩展）,16位"
x32,"宏媒体扩展（程序扩展）,32位"
yal,Arts& Letters剪贴艺术库
z,UNIX gzip文件
zap,Windows软件安装配置文件
zip,Zip压缩文件
ica,Citrix文件
idb,MSDev中间层文件
iges,初始图形交换说明文件
iif,QuickBooks
img,GEM映像
imz,WinImage压缩磁盘映像文件
inc,汇编语言或动态服务器包含文件
inp,Oracle
iof,Findit文档
isp,X-Internet签字文件
it,脉冲跟踪系统音乐模块(MOD)文件
iti,脉冲跟踪系统设备
its,"脉冲跟踪系统抽样,Internet文档位置"
iv,Open
ivd,"超过20,20微观数据维数或变量等级文件"
ivp,"超过20,20的用户子集配置文件"
ivt,"超过20,20表或集合数据文件"
ivx,"超过20,20微数据目录文件"
iw,Idlewild屏幕保护程序
jn1,Epic
kr1,Kurzweil
krz,Kurzweil
ksf,Korg
kye,Kye游戏数据
les,Logitech娱乐系统游戏配置文件（与REC文件一样）
lpd,Helix
lrc,Intel可视电话文件
lsl,Corel
lsp,AutoLISP、CommonLISP和其他LISP语言文件
lvl,Parallax
lwlo,Lightwave分层对象文件
lwob,Lightwave对象文件
lwp,Lotus
lwsc,Lightwave视景文件
m3d,Corel
mac,MacPaint图像文件
mag,在一些[非法语句]本文件中发现的图形文件格式
magic,魔力邮件监视器配置文件
mak,Visual
man,UNIX手册页输出
mas,Lotus
maud,MAUD抽样格式
max,Kinetx的3DStudio
maz,"Hover迷路数据；Division的dVS,dVISE使用的文件格式"
mbox,Berkeley
mcc,Dailerl0呼叫卡
mcp,Metrowerks
mcw,Microsoft
mda,Microsoft
mdf,Alcohol的文件格式Wu
mds,Alcohol的文件格式J
med,"音乐编辑器,OctaMED音乐模块（MOD）文件"
mer,"电子表格,数据库数据交换格式；FileMaker、Excel及其他软件能识别"
met,表示管理器元文件
mfg,"Pro,ENGINEER制造文件"
mgf,在材料与几何学里的文件格式
"mhtm,mhtml",MHTML文档（MIME）
mi,杂项
mif,Adobe
miff,与机器无关格式文件
mmf,Meal
mmg,"超过20,20表或集会数据文件"
mmm,Microsoft多媒体电影
mmp,Mindmapor
mn2,Descent2任务文件
"mnd,mni",Mandelbort
"mnt,mnx",Microsoft
mri,MRI扫描文件
msa,魔术阴影档案
msdl,Manchester的场景描述语言
mul,Ultima在线
mus,音乐
mus10,Mus10声音
mvb,Microsoft多媒体查看器文件
mwp,Lotus
ndo,3D
netcdf,网络公用数据表单
nlb,Oracle
nlm,NetWare可装载模块
nod,NetObject
nsf,Lotus
nso,NetObject
nst,Noise
ns2,Lotus
ntf,Lotus
o01,台风声音文件
obd,Microsoft
obz,Microsoft
off,3D
okt,Oktalyzer音乐模块（MOD）文件
opl,"组织者编程语言源文件――Psion,Symbian"
opt,Microsoft
opx,OPL扩展DLL（动态链接库）
ora,Oracle
orc,Oracle
org,Lotus
or2,Lotus
or3,Lotus
oss,Microsoft
ost,Microsoft
otl,Super
out,C语言输出文件
continue,V@BEA
p3,Primavera
p10,Tektronix
p7c,Digital
pac,SB
pak,Quake
pal,压缩文件
pat,DataCAD
pbf,Turtle
pbk,Microsoft
pce,Maps
pcp,Symantec
pcs,PICS动画文件
pct,Macintosh
pcx,Zsoft
pdb,3Com
pdp,Broderbund的Print
pdq,Patton&Patton
pds,摄影图像文件（该文件格式的来源不清楚）
pf,Aladdin系统对私人文件进行加密的文件
pfa,类型1字体（ASCⅡ）
pfb,类型1字体（二进制）
pfc,PF组件
pgd,良好隐私（Pretty
pgp,用良好隐私（PGP）算法加密文件
pict,Macintosh
pif,程序信息文件；IBM
pig,LucasArts的Dark
pin,Epic
pix,内置系统位图
pj,MKS源完整性文件
pkr,PGP的公用钥匙环
pl,Perl程序
plg,"由REND386,AVRIL使用的文件格式"
plm,Discorder
pls,Disorder
plt,HPGL绘图仪绘图文件；AutoCAD
pm5,Pagemaker
pm6,Pagemaker
"pnt,pntg",MacPaint图形文件
pog,Descent2
pol,Windows
pop,Visual
pov,视频射线跟踪器暂留
pp4,Picture
ppp,Parson
pqi,PowerQuest驱动器图像文件
prc,3COM
pre,Lotus
prp,Oberson的Prospero数据转换产品保存的工程文件
prs,Harvard
prv,PsiMail
prz,Lotus
ps,Postscript格式化文件（PostScript打印机可读文件）
psb,Pinnacle
psi,PSION
psm,Protracker
ptd,"Pro,ENGINEER表格文件"
ptm,Polytracker音乐模块（MOD）文件
pub,Ventura
pwd,Microsoft
pwl,Windows
pwp,Photoworks图像文件（能被Photoworks浏览的一系列文件）
pxl,Microsoft
qad,PF
qbw,QuickBooks
qdt,来自Quicken
qd3d,Apple的QuickDraw
qfl,FAMILY
qm,Quality
qst,Quake
"qt,qtm",QuickTime电影
"qti,qtif",QuickTime相关图像
qts,Mac
qxd,Quark
r,Pegasus邮件资源文件
ras,Sun光栅图像位图
raw,RAW文件格式（位图）；Raw标识的PCM数据
rbh,"由RoboHELP维持的RBH文件,它加入到一个帮助工程文件的信息中"
rdl,Descent注册水平文件
rec,录音机宏；RapidComm声音文件
rle,Run-Length编码的位图
rl2,Descent2注册水平文件
rmf,Rich
rmi,M1D1音乐
rom,基于盒式磁带的家庭游戏仿真器文件（来自Atari
rov,Rescue
rpm,RedHat包管理器包（用于Linux）
rrs,Ace
rsl,Borland的Paradox
rsm,WinWay
rtk,RoboHELP使用的用来模拟Windows帮助的搜索功能
rtm,Real
rts,RealAudio的RTSL文档；RoboHELP对复杂操作进行加速
rxx,多卷档案上的RAR压缩文件（xx=
s3i,Scream
s3m,Scream
sam,Ami专业文档；8位抽样数据)\
sb,原始带符号字节（8位）数据
sbk,Creative
sc2,Microsoft
sc3,SimCity
scd,"Matrix,Imapro"
sch,Microsoft
sci,ScanVec
scn,TRUE
sct01,SAS目录（UNIX）
scv,ScanVec
sd,Sound
sd2,Sound
sdf,系统数据文件格式―Legacy
sdk,Roland
sdl,Smart
sdr,Smart
sds,原始Midi抽样转储标准文件
sdw,Lotus
sea,自解压档案（Stufflt
ses,Cool
sf,IRCAM声音文件格式
sf2,Emu
sfw,Seattle电影工程（损坏的JPEG）
shb,Corel
shp,3D
shs,Shell
xml,具有结构性的标记电子文件
json,轻量级的数据交换格式，层次结构简洁和清晰
phps,php的源代码文件
project,eclipse的工程信息文件
classpath,eclipse项目编译环境的所有信息记录文件
svn,subversion的版本控制信息文件
gitignore,git软件要忽略的文件列表
sh,UNIX/LINUX
deb,Debain
dmg,Mac系统中的软件安装程序文件
ko,linux内核使用的动态连接文件
gz,Linux和OSX都可以直接解压使用的一种压缩文件
tar,"把多个文件或文件夹打包合成一个文件,本身并没有进行压缩"
tar.gz,tar打包，gzip压缩的一种压缩文件，linux和mocOS下常见
7z,主流高效的压缩格式
htm,网页文件
html,网页文件
css,展现html或xml的样式文件
jpg,全名JPEG，以24 位颜色存储单个位图，优点（文件小，色彩比较丰富利于网络传输），缺点（不支持透明背景，不支持动态图片）
tif,印刷行业中受到支持最广的图形文件格式
rmvb,RealMedia多媒体数字容器格式的可变比特率（VBR）扩展版本，较上一代RM格式画面要清晰很多，降低了静态画面下的比特率
mpg,运动图像压缩算法的视频格式
mpeg,mpg全称，（Moving Pictures Experts Group）即动态图像专家组
js.map,js打包
zip.tar.gz,
zip.7z,
zip.rar,
